Row,Rposition,Survival,ThreshMP,ThreshTP,RpositionFit,SurvivalFit,RposError,SurvError
0,0.8,0.8,83.96027072150504,nan,0.7780556537759036,0.899698400650104,0.021944346224096467,-0.09969840065010394
1,0.7000000000000001,0.8,88.74894920985443,91.97019458366567,0.6829927449757215,0.899568981106603,0.017007255024278578,-0.09956898110660295
2,0.6000000000000001,0.6,93.93282774218241,99.02380738752714,0.6649050210139805,0.39078291247220387,-0.06490502101398044,0.2092170875277961
3,0.5000000000000001,0.4,98.19233230026263,106.22571716748513,0.577932615416104,0.25385183268855427,-0.07793261541610386,0.14614816731144575
4,0.40000000000000013,0.4,99.76100303163078,109.68039193141763,0.3264227427481713,0.5477975539857186,0.07357725725182884,-0.1477975539857186
5,0.30000000000000016,0.6,99.55059913755589,109.65381167431377,0.2159134885511301,0.815099185695335,0.08408651144887005,-0.21509918569533504
6,0.20000000000000018,0.8,99.54548628173981,110.05235984195065,0.21631820707649227,0.7616441962458973,-0.01631820707649209,0.038355803754102746
7,0.1000000000000002,0.8,100.2130142359642,112.12699260633948,0.22206094824409658,0.5274850002450742,-0.12206094824409638,0.2725149997549259
8,2.220446049250313e-16,0.8,101.35072350841854,114.46896931583167,0.08228427188107133,0.6422131302538959,-0.08228427188107111,0.15778686974610412
9,-0.09999999999999976,0.6,102.99140183479524,118.34556557230648,-0.1945966075112944,0.7197489484198215,0.09459660751129464,-0.11974894841982153
10,-0.19999999999999973,0.4,104.40308064535743,122.57045870996362,-0.5175262835036162,0.6802343430133645,0.31752628350361645,-0.2802343430133645
11,-0.2999999999999996,0.4,104.86515958688487,123.67040138752601,-0.8150276767583965,0.3153141263383932,0.5150276767583969,0.08468587366160685
12,-0.3999999999999997,0.6,104.37281789164405,121.9085278035101,-0.733880388780718,0.8998492309662469,0.33388038878071835,-0.29984923096624694
13,-0.4999999999999998,0.8,103.99915213950473,120.63514620612256,-0.6791488184422301,0.8540905415039257,0.1791488184422303,-0.05409054150392567
14,-0.5999999999999996,0.8,103.97870993275659,120.76885138053336,-0.56195535958071,0.8069192129558553,-0.03804464041928968,-0.006919212955855292
15,-0.6999999999999995,0.8,104.4137937471269,nan,-0.4615489140579611,0.6306004095889947,-0.2384510859420384,0.16939959041100539
